q,qpFnew,qpFnew_se,station,station2
1,0,0.0854675072617945,0.022319855811522,a Weierbach,Schistose
2,0.0024,0.0298539290044416,0.00939222106472861,a Weierbach,Schistose
3,0.0111312,0.0104436621792652,0.00829295759071184,a Weierbach,Schistose
4,0.0312,0.00353446782784349,0.00302910385337878,a Weierbach,Schistose
5,0.0516099513400549,0.0402755686752679,0.0156686688095706,a Weierbach,Schistose
6,0.0863736,0.0152695340853018,0.0477129258470118,a Weierbach,Schistose
7,0.1558032,0.0267910443941825,0.0207328879539765,a Weierbach,Schistose
8,0.000271875,0.0614733486073024,0.016451604199199,b Colpach,Schistose
9,0.0042309375,0.0468566299507171,0.0271552529342242,b Colpach,Schistose
10,0.0131079375,0.0499251848879653,0.0150178173254432,b Colpach,Schistose
11,0.0297515625,-0.00573448978927135,0.00727127372345271,b Colpach,Schistose
12,0.0413780625,0.00803501536223514,0.00976767084879746,b Colpach,Schistose
13,0.0777930000000001,0.0665056446051445,0.036961825917858,b Colpach,Schistose
14,0.1438205625,0.0336462117821759,0.0238379090284242,b Colpach,Schistose
15,0,0.173953164534119,0.0340558377102934,c Mierbech,Marly
16,0.000309375,0.0718615314853832,0.0223810909883185,c Mierbech,Marly
17,0.005484375,0.0959498406907505,0.0265372806303896,c Mierbech,Marly
18,0.01243125,0.0755503189808875,0.017846923842428,c Mierbech,Marly
19,0.02773125,0.0707186433078425,0.0280833799092727,c Mierbech,Marly
20,0.046996875,0.313642074428645,0.0413076480555958,c Mierbech,Marly
21,0.10783125,0.284501755307438,0.0678123213819876,c Mierbech,Marly
22,0,0.0407814590886727,0.0543951801104349,d Bibeschbach,Marly
23,0.00167884615384615,0.14256493979211,0.0219710472338541,d Bibeschbach,Marly
24,0.00451176923076923,0.0924523245132871,0.0225145398468784,d Bibeschbach,Marly
25,0.0111904615384616,0.0380610918553152,0.0385306089846513,d Bibeschbach,Marly
26,0.0212877692307692,0.0628698056776121,0.0276963768280693,d Bibeschbach,Marly
27,0.0436776923076923,0.218080136880891,0.0436815724564577,d Bibeschbach,Marly
28,0.0883263461538461,0.230628346205589,0.0911548449149781,d Bibeschbach,Marly
29,0,0.0729115730534062,0.01685908993249,e Wollefsbach,Marly
30,0.00206608695652174,0.0272969838359592,0.0125263473407987,e Wollefsbach,Marly
31,0.00511826086956522,0.00487596555531835,0.00711325370950453,e Wollefsbach,Marly
32,0.0109408695652174,0.0735338980587905,0.0345142242920298,e Wollefsbach,Marly
33,0.0163173913043478,0.0842103865447875,0.0221806076308748,e Wollefsbach,Marly
34,0.0256147826086957,0.116005324235958,0.0349861138438813,e Wollefsbach,Marly
35,0.0597834782608696,0.318901959078784,0.0351172175564202,e Wollefsbach,Marly
36,0.00138633540372671,0.0559697943521222,0.0241895308814075,f Mess,Marly
37,0.00470124223602484,0.136877425021592,0.027059635584456,f Mess,Marly
38,0.0101034782608695,0.0614252555460061,0.0253350833586311,f Mess,Marly
39,0.0220729192546584,0.113758182554154,0.0501668505982424,f Mess,Marly
40,0.0412904347826087,0.100468411679344,0.0552761132533112,f Mess,Marly
41,0.0599735403726708,0.0354322466967227,0.0980960152385279,f Mess,Marly
42,0.136493664596273,0.291920529718045,0.0601994000942831,f Mess,Marly
43,0.00293245033112583,0.0349639820391675,0.0103365995490975,g Schwebich,Permeable layer interface
44,0.00636198675496689,-0.0203002569577222,0.0168621954452183,g Schwebich,Permeable layer interface
45,0.00976172185430463,0.00850968724741101,0.00881175986724179,g Schwebich,Permeable layer interface
46,0.0159532450331126,0.0486282009881238,0.019871118944607,g Schwebich,Permeable layer interface
47,0.0203709933774835,0.0558673949944636,0.0136102470748096,g Schwebich,Permeable layer interface
48,0.0318409271523178,0.108283222230555,0.0269581222187515,g Schwebich,Permeable layer interface
49,0.0592891390728477,0.220873410858164,0.0428239987710015,g Schwebich,Permeable layer interface
50,0.00562803234501348,0.0196102341878603,0.0158643950611791,h Pall,Permeable layer interface
51,0.0136916442048517,0.0497358853485254,0.0256486062885164,h Pall,Permeable layer interface
52,0.0185433962264151,0.00521122970598832,0.00626583939377706,h Pall,Permeable layer interface
53,0.0252436657681941,0.0740961460336877,0.0182587110996201,h Pall,Permeable layer interface
54,0.0311822102425876,0.100348861306304,0.0240488931112485,h Pall,Permeable layer interface
55,0.0444323450134771,0.099988458678605,0.0186765927619538,h Pall,Permeable layer interface
56,0.0783072776280324,0.246892861523303,0.0844690114774416,h Pall,Permeable layer interface
57,0.00471703661364288,-0.000416986149874188,0.0169676756922998,i Huewelerbach,Permeable layer interface
58,0.0101185714285714,2.55621663003532e-05,0.000387793287955972,i Huewelerbach,Permeable layer interface
59,0.0135578571428571,0.018024881845513,0.011911315624614,i Huewelerbach,Permeable layer interface
60,0.0173314285714286,0.0586516435364401,0.0233399722641969,i Huewelerbach,Permeable layer interface
61,0.0193242857142857,-0.00125723758164047,0.0202601317031602,i Huewelerbach,Permeable layer interface
62,0.0228857142857143,0.0278311126934165,0.0115366578222788,i Huewelerbach,Permeable layer interface
63,0.0287485714285714,0.0831876605206456,0.027866171663063,i Huewelerbach,Permeable layer interface
64,0.0055974921630094,0.0546902284587853,0.0187768100671608,j Reichlange,Aggregated
65,0.0105968652037618,0.0211081824869842,0.0100747808101634,j Reichlange,Aggregated
66,0.0164764890282132,0.0323327484673463,0.0165956842535325,j Reichlange,Aggregated
67,0.0302783699059561,0.107786741485003,0.0298101301470647,j Reichlange,Aggregated
68,0.0429404388714733,0.0538357826772835,0.046713990245854,j Reichlange,Aggregated
