station,ttd
1,a Weierbach,0.208412589807524
2,b Colpach,0.201790048530978
3,c Mess,0.591593481388062
4,d Attert-Reichlange,0.283737763957776
5,e Attert-Useldange,0.202349360186444
6,f Pall,0.251037740570134
7,g Wollefsbach,0.251129849756029
8,h Bibeschbach,0.619441554409106
9,i Mierbech,0.608054728271596
10,j Schwebich,0.184605442197184
11,k Roudbach,0.185474165643472
12,l Huewelerbach,0.125030959819597
