Q,QpFnew,QpFnew_se,station
1,16.7475924212927,0.0153073026180023,0.0313524251414301,a Weierbach
2,99.1924986764743,-0.014911258376893,0.0192414790717649,a Weierbach
3,137.219708169061,0.00916978571180769,0.0130705610094264,a Weierbach
4,168.659741187964,0.00611845838010011,0.00804717192671756,a Weierbach
5,21.0052662046179,0.0365400799164582,0.0347413673067878,b Colpach
6,95.5933128491168,-0.00944888172801476,0.0181830993377505,b Colpach
7,126.450562255845,0.0136752600884496,0.0119016990573394,b Colpach
8,156.50375280478,0.026370649528792,0.0117744114043826,b Colpach
9,50.5434119048611,0.0844337139501443,0.0290320601808864,c Mess
10,108.939876158924,0.086009512800865,0.0315461762237545,c Mess
11,132.187086640265,0.0626437116238789,0.0469452329037663,c Mess
12,161.827208231782,0.0524156611348954,0.0340870914288371,c Mess
13,24.434096407749,0.099624607697508,0.0190866505853831,d Attert-Reichlange
14,91.3970516699116,0.0665401666860115,0.0228748191820785,d Attert-Reichlange
15,132.287246167101,-0.000462087796105966,0.000583136892842323,d Attert-Reichlange
16,171.891545624371,0.0337200851443425,0.0116674914435636,d Attert-Reichlange
17,27.2334703916783,0.0682653628222996,0.0287108868475212,e Attert-Useldange
18,83.7307343491905,0.0237127203807581,0.0149785526217568,e Attert-Useldange
19,116.714736670056,0.00520003362077593,0.00798084138398839,e Attert-Useldange
20,148.401213373748,-4.64212172564788e-05,8.45515219542473e-05,e Attert-Useldange
21,59.6143412758291,0.077084549534733,0.0204826521834299,f Pall
22,145.254117131561,0.110273226409749,0.0318181152405538,f Pall
23,194.016897531291,0.0303325937226543,0.191173189251309,f Pall
24,235.843591226698,0.0100537875254216,0.00855372302405564,f Pall
25,27.4031990830323,0.177677237069583,0.0289901976065522,g Wollefsbach
26,93.0827994227886,0.112557161105881,0.0186072780279355,g Wollefsbach
27,120.830112651604,0.0258717782849393,0.0115792015139704,g Wollefsbach
28,149.133607556469,0.0234999820784149,0.0148762058083922,g Wollefsbach
29,53.2060981518597,0.07807664825778,0.0162300730637792,h Bibeschbach
30,104.762908039019,0.100034432287377,0.0383995880521499,h Bibeschbach
31,130.749974843009,0.0922181279652254,0.162920104402973,h Bibeschbach
32,164.635475943712,0.0434616574205256,0.0436444238146401,h Bibeschbach
33,43.0201056797828,0.0889492162729025,0.0189270063820062,i Mierbech
34,138.070209395698,0.182512166834062,0.0473737607205683,i Mierbech
35,160.051619009885,0.0535305639946426,0.0339650861774073,i Mierbech
36,189.090206822687,0.240333526690307,0.0365084038085236,i Mierbech
37,94.0109836840838,0.102471606198289,0.0210383719321066,j Schwebich
38,150.617264951408,0.0512028605318764,0.0169965805455718,j Schwebich
39,192.602053598133,0.0114800282973094,0.00952799968988152,j Schwebich
40,228.527508429931,-0.00777643935896338,0.0931320508448845,j Schwebich
41,11.1985159260761,0.0279430868375972,0.0150930000899496,k Roudbach
42,124.474172318741,0.00290600018430045,0.00417679444960139,k Roudbach
43,156.358062349117,0.0133671934335617,0.00883254267289468,k Roudbach
44,206.907826488221,0.00865888701702932,0.0125529380938739,k Roudbach
45,22.6390423316013,0.038703326418414,0.012545985965886,l Huewelerbach
46,218.982309426304,0.00751383480172112,0.0066079156316816,l Huewelerbach
47,319.02630174175,0.00621410614860397,0.0040999633764754,l Huewelerbach
48,459.681906412911,0.0213600490742275,0.0152573751791405,l Huewelerbach
