qpFnew,qpFnew_se,nr_qpFnew,nr_qpFnew_se,station,station2
1,0.0282943975026941,0.00427264845283659,0.0413771486033449,0.00533444074172267,a Weierbach,Schistose
2,0.0383058444892998,0.00540519853834694,0.0378679384341769,0.00484495832322155,b Colpach,Schistose
3,0.119108848745395,0.0101410764880843,0.148186819903804,0.0153086392207509,c Mierbech,Marly
4,0.0971312253710046,0.0110807158636848,0.116271880581532,0.0133239145218799,d Bibeschbach,Marly
5,0.0447951543446294,0.00527282030320011,0.0848599214831872,0.00910779569620231,e Wollefsbach,Marly
6,0.0866245776266002,0.00984089534470726,0.102008091168726,0.0144017295136092,f Mess,Marly
7,0.021629956874842,0.00368037834921178,0.0662443332716927,0.00834043675940672,g Schwebich,Permeable layer interface
8,0.0271522125175174,0.00568014827771406,0.0570167387790733,0.00872147409729204,h Pall,Permeable layer interface
9,0.0134802831101128,0.00339038668747021,0.0249133128203178,0.00535108409175871,i Huewelerbach,Permeable layer interface
10,0.0350715697543118,0.00464424058461479,0.0517890661691667,0.00629340736482746,j Reichlange,Aggregated
11,0.0254933098849718,0.0050946257331723,0.0475200890074597,0.00669278898943758,k Useldange,Aggregated
12,0.0296102528000018,0.00446846757905324,0.0354592729076141,0.00543896562772966,l Roudbach,Aggregated
